Calibration metrics:
x331: Cal. error 0.2280, RMSE 0.1092, R2 0.6731
x332: Cal. error 0.2240, RMSE 0.1074, R2 0.6701
x333: Cal. error 0.2210, RMSE 0.1075, R2 0.6724
x334: Cal. error 0.2210, RMSE 0.1078, R2 0.6744
x335: Cal. error 0.2220, RMSE 0.1064, R2 0.6743
x336: Cal. error 0.2170, RMSE 0.1039, R2 0.6663
x337: Cal. error 0.2270, RMSE 0.1031, R2 0.6508
x338: Cal. error 0.2380, RMSE 0.1041, R2 0.6261
x339: Cal. error 0.2450, RMSE 0.1054, R2 0.6119
x340: Cal. error 0.2630, RMSE 0.1061, R2 0.6039
x341: Cal. error 0.2570, RMSE 0.1062, R2 0.6109
x342: Cal. error 0.2380, RMSE 0.1078, R2 0.6203
x343: Cal. error 0.2170, RMSE 0.1087, R2 0.6357
x344: Cal. error 0.2170, RMSE 0.1069, R2 0.6449
x345: Cal. error 0.2340, RMSE 0.1089, R2 0.6442
x346: Cal. error 0.2220, RMSE 0.1170, R2 0.6442
x347: Cal. error 0.2270, RMSE 0.1157, R2 0.6463
x348: Cal. error 0.2310, RMSE 0.1113, R2 0.6450
x349: Cal. error 0.2250, RMSE 0.1075, R2 0.6444
x350: Cal. error 0.2100, RMSE 0.1040, R2 0.6433
x351: Cal. error 0.1870, RMSE 0.0976, R2 0.6378
x352: Cal. error 0.2070, RMSE 0.0931, R2 0.6271
x353: Cal. error 0.2200, RMSE 0.0923, R2 0.6150
x354: Cal. error 0.2120, RMSE 0.0940, R2 0.6138
x355: Cal. error 0.2000, RMSE 0.0992, R2 0.6156
x356: Cal. error 0.2240, RMSE 0.1066, R2 0.6192
x357: Cal. error 0.2290, RMSE 0.1132, R2 0.6134
x358: Cal. error 0.2220, RMSE 0.1222, R2 0.5966
x359: Cal. error 0.2270, RMSE 0.1227, R2 0.5845
x360: Cal. error 0.2290, RMSE 0.1238, R2 0.5689
x361: Cal. error 0.2520, RMSE 0.1220, R2 0.5647
x362: Cal. error 0.2260, RMSE 0.1175, R2 0.5576
x363: Cal. error 0.2000, RMSE 0.1108, R2 0.5595
x364: Cal. error 0.1830, RMSE 0.1131, R2 0.5481
x365: Cal. error 0.1660, RMSE 0.1139, R2 0.5481
x366: Cal. error 0.2000, RMSE 0.1157, R2 0.5384
x367: Cal. error 0.2250, RMSE 0.1172, R2 0.5419
x368: Cal. error 0.2050, RMSE 0.1207, R2 0.5271
x369: Cal. error 0.2320, RMSE 0.1226, R2 0.5148
x370: Cal. error 0.2220, RMSE 0.1309, R2 0.4867
x371: Cal. error 0.2100, RMSE 0.1388, R2 0.4678
x372: Cal. error 0.1920, RMSE 0.1473, R2 0.4497
x373: Cal. error 0.1810, RMSE 0.1368, R2 0.4493
x374: Cal. error 0.1960, RMSE 0.1364, R2 0.4165
x375: Cal. error 0.2040, RMSE 0.1484, R2 0.3888
x376: Cal. error 0.2380, RMSE 0.1600, R2 0.3492
x377: Cal. error 0.2560, RMSE 0.1533, R2 0.3144
x378: Cal. error 0.2910, RMSE 0.1526, R2 0.2734
x379: Cal. error 0.2540, RMSE 0.1558, R2 0.2442
x380: Cal. error 0.2990, RMSE 0.1596, R2 0.2245
x381: Cal. error 0.2940, RMSE 0.1606, R2 0.1943
x382: Cal. error 0.2820, RMSE 0.1479, R2 0.1863
x383: Cal. error 0.2860, RMSE 0.1468, R2 0.1566
x384: Cal. error 0.2250, RMSE 0.1016, R2 0.6333
x385: Cal. error 0.1480, RMSE 0.0970, R2 0.6847
x386: Cal. error 0.1550, RMSE 0.0906, R2 0.7153
x387: Cal. error 0.1610, RMSE 0.0952, R2 0.7055
x388: Cal. error 0.1910, RMSE 0.0959, R2 0.7192
x389: Cal. error 0.1800, RMSE 0.0976, R2 0.7440
x390: Cal. error 0.1560, RMSE 0.0950, R2 0.7765
x391: Cal. error 0.1580, RMSE 0.0931, R2 0.8015
x392: Cal. error 0.2060, RMSE 0.0916, R2 0.8205
x393: Cal. error 0.1990, RMSE 0.0859, R2 0.8242
x394: Cal. error 0.1930, RMSE 0.0811, R2 0.8223
x395: Cal. error 0.1860, RMSE 0.0790, R2 0.8147
x396: Cal. error 0.1740, RMSE 0.0765, R2 0.8194
x397: Cal. error 0.2210, RMSE 0.0788, R2 0.8144
x398: Cal. error 0.2190, RMSE 0.0748, R2 0.8235
x399: Cal. error 0.2110, RMSE 0.0773, R2 0.8165
x400: Cal. error 0.2390, RMSE 0.0829, R2 0.8128
x401: Cal. error 0.2210, RMSE 0.0909, R2 0.7974
x402: Cal. error 0.2450, RMSE 0.0937, R2 0.7804
x403: Cal. error 0.2280, RMSE 0.0927, R2 0.7606
x404: Cal. error 0.2220, RMSE 0.0889, R2 0.7592
x405: Cal. error 0.2120, RMSE 0.0856, R2 0.7673
x406: Cal. error 0.2100, RMSE 0.0847, R2 0.7849
x407: Cal. error 0.1890, RMSE 0.0818, R2 0.7983
x408: Cal. error 0.1810, RMSE 0.0784, R2 0.8188
x409: Cal. error 0.1810, RMSE 0.0777, R2 0.8270
x410: Cal. error 0.1950, RMSE 0.0788, R2 0.8339
x411: Cal. error 0.1850, RMSE 0.0813, R2 0.8327
x412: Cal. error 0.1970, RMSE 0.0805, R2 0.8302
x413: Cal. error 0.1950, RMSE 0.0783, R2 0.8238
x414: Cal. error 0.2130, RMSE 0.0770, R2 0.8253
x415: Cal. error 0.1920, RMSE 0.0724, R2 0.8300
x416: Cal. error 0.1970, RMSE 0.0611, R2 0.8383
x417: Cal. error 0.1900, RMSE 0.0588, R2 0.8344
x418: Cal. error 0.1880, RMSE 0.0587, R2 0.8300
x419: Cal. error 0.2250, RMSE 0.0616, R2 0.8210
